barrio_1,ambientes,m2total,db_lo_num,preciousd,precio_x_m2,latitud,longitud
CABALLITO,3.0,96.0,75.0,187000.0,1947.9166666666667,-34.616348,-58.443123
CABALLITO,4.0,100.0,75.0,195000.0,1950.0,-34.616331,-58.44315
CABALLITO,3.0,67.0,75.0,179900.0,2685.0746268656717,-34.617815,-58.447877
CABALLITO,4.0,84.0,75.0,225000.0,2678.5714285714284,-34.612117,-58.433131
CABALLITO,2.0,75.0,70.0,128000.0,1706.6666666666667,-34.613226,-58.435797
CABALLITO,2.0,50.0,75.0,136000.0,2720.0,-34.616133,-58.442807
CABALLITO,4.0,96.0,75.0,187000.0,1947.9166666666667,-34.616331,-58.44315
CABALLITO,0.0,73.0,70.0,155000.0,2123.2876712328766,-34.614564,-58.43679
CABALLITO,1.0,27.0,70.0,72316.0,2678.3703703703704,-34.620928,-58.445874
CABALLITO,1.0,42.0,70.0,101000.0,2404.7619047619046,-34.620928,-58.445874
CABALLITO,3.0,92.0,70.0,220000.0,2391.304347826087,-34.611244,-58.430873
CABALLITO,4.0,129.0,75.0,350000.0,2713.1782945736436,-34.608843,-58.431224
CABALLITO,3.0,57.0,75.0,147000.0,2578.9473684210525,-34.608222,-58.447685
CABALLITO,1.0,23.0,75.0,59000.0,2565.217391304348,-34.605173,-58.459302
CABALLITO,3.0,81.0,80.0,210000.0,2592.5925925925926,-34.620412,-58.441239
CABALLITO,3.0,81.0,80.0,189000.0,2333.3333333333335,-34.620412,-58.441239
CABALLITO,4.0,91.0,70.0,270000.0,2967.032967032967,-34.620122,-58.434126
CABALLITO,2.0,45.0,70.0,159000.0,3533.3333333333335,-34.619961,-58.434215
CABALLITO,4.0,102.0,65.0,320000.0,3137.2549019607845,-34.624186,-58.438342
CABALLITO,4.0,102.0,65.0,360000.0,3529.4117647058824,-34.624186,-58.438342
CABALLITO,2.0,39.0,65.0,105000.0,2692.3076923076924,-34.617305,-58.442743
CABALLITO,3.0,57.0,65.0,155000.0,2719.2982456140353,-34.621597,-58.453389
CABALLITO,5.0,210.0,70.0,435000.0,2071.4285714285716,-34.614505,-58.437207
CABALLITO,4.0,78.0,65.0,179000.0,2294.871794871795,-34.617511,-58.443078
CABALLITO,2.0,40.0,65.0,90000.0,2250.0,-34.618042,-58.444662
CABALLITO,3.0,57.0,65.0,155000.0,2719.2982456140353,-34.621597,-58.453389
CABALLITO,2.0,35.0,70.0,100000.0,2857.1428571428573,-34.612133,-58.430974
CABALLITO,0.0,28.0,60.0,75000.0,2678.5714285714284,-34.617201,-58.442552
CABALLITO,3.0,79.0,65.0,239000.0,3025.3164556962024,-34.627514,-58.43936
CABALLITO,3.0,79.0,65.0,267400.0,3384.8101265822784,-34.627514,-58.43936
CABALLITO,0.0,98.0,65.0,236300.0,2411.2244897959185,-34.627497,-58.438947
CABALLITO,0.0,133.0,65.0,428600.0,3222.5563909774437,-34.627497,-58.438947
CABALLITO,0.0,133.0,65.0,384000.0,2887.218045112782,-34.627497,-58.438947
CABALLITO,0.0,54.0,65.0,183000.0,3388.8888888888887,-34.627497,-58.438947
CABALLITO,0.0,133.0,65.0,441000.0,3315.7894736842104,-34.627497,-58.438947
CABALLITO,0.0,133.0,65.0,459400.0,3454.1353383458645,-34.627497,-58.438947
CABALLITO,0.0,133.0,65.0,433000.0,3255.6390977443607,-34.627497,-58.438947
CABALLITO,0.0,79.0,65.0,264000.0,3341.772151898734,-34.627497,-58.438947
CABALLITO,0.0,79.0,65.0,257400.0,3258.227848101266,-34.627497,-58.438947
CABALLITO,1.0,39.0,70.0,123000.0,3153.846153846154,-34.625486,-58.451686
CABALLITO,0.0,49.0,70.0,178500.0,3642.8571428571427,-34.625486,-58.451686
CABALLITO,0.0,49.0,70.0,133000.0,2714.285714285714,-34.625486,-58.451686
CABALLITO,1.0,40.0,70.0,117000.0,2925.0,-34.625486,-58.451686
CABALLITO,0.0,51.0,70.0,110250.0,2161.764705882353,-34.625486,-58.451686
CABALLITO,0.0,72.0,70.0,147000.0,2041.6666666666667,-34.625486,-58.451686
CABALLITO,3.0,134.0,70.0,396000.0,2955.223880597015,-34.625486,-58.451686
CABALLITO,3.0,141.0,70.0,396000.0,2808.5106382978724,-34.625486,-58.451686
CABALLITO,0.0,53.0,70.0,166950.0,3150.0,-34.625486,-58.451686
CABALLITO,2.0,57.0,70.0,208000.0,3649.122807017544,-34.625486,-58.451686
CABALLITO,4.0,151.0,75.0,379590.0,2513.841059602649,-34.60675,-58.44301
CABALLITO,5.0,238.0,75.0,480000.0,2016.8067226890757,-34.620074,-58.438759
CABALLITO,3.0,89.0,75.0,333000.0,3741.5730337078653,-34.616668,-58.432879
CABALLITO,4.0,92.0,70.0,260000.0,2826.086956521739,-34.61732,-58.430119
CABALLITO,2.0,49.0,65.0,185000.0,3775.5102040816328,-34.612607,-58.443369
CABALLITO,2.0,62.0,65.0,215000.0,3467.7419354838707,-34.612607,-58.443369
CABALLITO,4.0,127.0,70.0,305000.0,2401.5748031496064,-34.610204,-58.449485
CABALLITO,2.0,48.0,70.0,129000.0,2687.5,-34.630093,-58.451813
CABALLITO,1.0,36.0,75.0,105000.0,2916.6666666666665,-34.624373,-58.44074
CABALLITO,2.0,38.0,75.0,94000.0,2473.684210526316,-34.628834,-58.43956
CABALLITO,3.0,81.0,75.0,258000.0,3185.185185185185,-34.623484,-58.440692
CABALLITO,2.0,37.0,75.0,82000.0,2216.2162162162163,-34.60807,-58.443455
CABALLITO,3.0,74.0,75.0,240000.0,3243.2432432432433,-34.608887,-58.44063
CABALLITO,3.0,113.0,60.0,279000.0,2469.026548672566,-34.618265,-58.431378
CABALLITO,4.0,80.0,65.0,200000.0,2500.0,-34.619395,-58.431385
CABALLITO,2.0,31.0,75.0,93000.0,3000.0,-34.622639,-58.430575
CABALLITO,3.0,52.0,60.0,140000.0,2692.3076923076924,-34.618126,-58.431406
CABALLITO,2.0,53.0,70.0,150000.0,2830.188679245283,-34.620928,-58.445874
